s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
329,George Maciunas,Same Card Flux Deck,fluxus,MoMA,  Lithuania / America,TRUE,6,"sculpture, plastic box with offset label, containing 52 identical cards",216,1983,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,4,FALSE,0,0,5,"repetition of cards, impossible to find in a deck, know that there aren't identical cards in a pack"
330,Jan Tarasin,Beach,,MoMA,Poland,FALSE,5,"print, screenprint",1750,1983,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,0,1,0,4,FALSE,5,5,5,"multiple small, overlayered shapes, repetition, 2 colors, interesting way that 2 different kinds of imagery (symbols & representational) are overlaid in linear repetition"
331,Jake Berthot,Third House for Edgar Hofschen #3,,MoMA,America,FALSE,1,"drawing, ink & pencil on paper",1960,1979,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,3,0,0,4,FALSE,0,5,5,"hand-drawn scribbled marks, thin layers of wash, quality of ink drawing line, searching shaky drawn line in different directions over washy ground, hard to define"
332,Nasreen Mohamedi ,Untitled,,MoMA,India,FALSE,1,"drawing, pencil & ink on graph paper",324,1977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4,1,0,3,0,FALSE,0,5,0,"parallel, angled, differences in repetition, layering of systems, on gridded paper, light marks against light grid w/ some darker lines, lightness of touch, layering of lines at 2 angles & horizontal"
333,Nam June Paik,Untitled,fluxus,MoMA,Korea / America,TRUE,6,"sculpture, player piano, 15 televisions, 2 cameras, 2 laser disc players, 1 electric light & light bulb, & wires",8273796,1993,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,0,1,1,3,4,FALSE,0,0,5,"multiple monitors on top of - self-playing - player piano, moving images, balancing, moving videos, screens piled on top of each other, different ways up, video of closeups of the self-playing piano"
334,Marcel Broodthaers ,Un coup de dÃ©s jamais n'abolira le hasard (A throw of the dice will never abolish chance),conceptual,MoMA,Belgium,FALSE,5,"print, mechanical engraving & paint on 12 aluminum plates",480,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,1,0,0,2,FALSE,0,5,3,"blocking out lines of text, erasure, varying widths, lines over writing, what is underneath, here shows one in sequence of 12"
335,Arman,I Still Use Brushes,,MoMA,France / America,FALSE,6,"sculpture, brushes embedded in plastic, in acrylic box",41209,1969,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,0,3,0,3,3,FALSE,0,5,5,"repetition of real objects in plastic, multiple paintbrushes, different shapes & sizes, all same color handle, laid out in parallel, in rows partly overlaid, accumulations, encased within somewhat gooey, off-white plastic, in box"
336,Brion Gysin ,Plateau Beaubourg,,MoMA,UK,FALSE,1,"drawing, ink & cut-and-pasted gelatin silver prints on paper",896,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,3,4,0,2,4,FALSE,0,5,5,"repetition, different sizes & scales, some overlapping, sense of collage, different lines & areas overlapping, complex spatial effects"
337,Paul Thek,_Fishman in Excelsis Table_,,Whitney also MoMA,America,FALSE,6,"sculpture, mixed media: wood, latex, wax, metal, paint, fabric, string, & Styrofoam",1613250,1971,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,0,3,0,0,4,FALSE,0,3,5,"suspension & materials, suspended table high up near ceiling, materials bound under table cloth hanging down, old materials, skeleton, body parts, represent effigy of Thek surrounded by fish & looking like Christ, aka the fisherman"
338,Mira Schendel ,Untitled from the series Graphic objects (Objetos grÃ¡ficos),,MoMA,Switzerland / Brazil,TRUE,1,"drawing, graphite, transfer type, and oil on paper between
transparent acrylic sheets with transfer type",10000,1967,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,4,2,0,2,4,FALSE,3,5,3,"overlaying, scale, use of backwards & forwards letters, repetition w/ different sizes & values, mix of letters, cartographic symbols & sense of landscape, spatial effects"
339,Dick Higgins,Symphony #269 from The Thousand Symphonies,fluxus,MoMA,UK,TRUE,1,"drawing, spray paint on 3 sheets of offset printed musical composition paper",2565,1968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,1,4,1,0,3,FALSE,0,5,5,"spraying / pouring, sprayed splotches on top of music lines, spatial effects"
340,James Boynton ,Untitled,,MoMA,America,FALSE,5,"print, lithograph",728,1967,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,4,0,0,2,FALSE,0,5,5,"shadow & sense of suspension, placing sphere in 'box' w/ shadow as if suspended, textural quality of sphere"
341,Paul Sharits,Spasmatic Pain I (Boulder Community Hospital),,MoMA,America,FALSE,1,"drawing, felt-tip pen on paper",3672,1981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,0,0,3,2,5,FALSE,3,5,0,"overlapping zig-zag lines largely going across the drawing paper, confusing space, quality of marks, particular colors, what are these lines, are they drawn left handed, are some of them very scrawled signatures?"
342,Sheila Hicks ,Unfinished Conversation,,SIkkema Jenkins Gallery also MoMA,America,FALSE,3,"painting, wool, linen, wood, aluminum",11025,2015,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,3,4,0,1,3,FALSE,0,5,5,"half woven & half not, use of one color, 'basic' use of materials, jagged sides of woven horizontal shape, not really a painting, a sculpture or an object, more of a woven piece"
343,Hi Red Center,Canned Mystery,fluxus,MoMA,Japan,TRUE,6,"sculpture, sealed metal can with label, containing unknown contents",392,1964,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,2,3,1,4,FALSE,0,0,5,"group - use of red exclamation symbol onclosed object, can, creates questions/ uncertainty"
344,Lucio Fontana ,Concetto Spaziale from Six Original Etchings (Sei Acqueforti Originali),,MoMA,Argentina / Italy,FALSE,5,"print, one from a portfolio of 6 etchings with embossing",3200,1964,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,4,0,0,4,FALSE,5,3,5,"appearance of differently shaped holes, gorged, almost in 4 columns starting at different heights, scored surface lines describing oval around the holes and selectively placed parallel lines; surface appears to be pierced through forcefully, how made, why made, what do they represent"
345,Heinz Mack,Untitled,ZERO,MoMA,Gernany,FALSE,5,"print, lithograph",864,1961,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,1,1,0,3,4,FALSE,0,5,0,"op, light & kinetic art, here parallel, jagged lines, quality of lines, optical almost blurring effect, repetition of very close thin lines, path of each wavering line"
